station_Borgo Valsugana,station_Monte Gaza,station_Parco S. Chiara,station_Piana Rotaliana,station_Riva del Garda,station_Rovereto,station_Via Bolzano,elevation,day,cos_week_day,sin_week_day,cos_hour,sin_hour,temperature,precipitation,O3_1,O3_2,O3_3,O3_diff_1,O3_diff_2,PM10_1,NO2_1,power_area_50_1,power_area_50_2,target
0,0,1,0,0,0,0,312,30,-0.2225209339563146,-0.9749279121818235,0.9659258262890681,-0.2588190451025215,1.975,0.0,3.0,4.0,3.0,-1.0,0.0,46.0,66.0,118.29053653681468,130.68829341867908,3.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.9659258262890683,0.25881904510252074,1.7,0.0,3.0,3.0,4.0,0.0,-1.0,40.0,59.0,106.39679533105225,118.29053653681468,2.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.8660254037844387,0.49999999999999994,1.625,0.0,2.0,3.0,3.0,-1.0,-1.0,33.0,55.0,87.1004987695264,106.39679533105225,2.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.7071067811865476,0.7071067811865475,1.05,0.0,2.0,2.0,3.0,0.0,-1.0,30.0,51.0,80.75838846286568,87.1004987695264,2.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.5000000000000001,0.8660254037844386,1.025,0.0,2.0,2.0,2.0,0.0,0.0,24.0,48.0,78.3245350004633,80.75838846286568,4.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,0.25881904510252074,0.9659258262890683,0.65,0.0,4.0,2.0,2.0,2.0,2.0,20.0,41.0,76.3715524897611,78.3245350004633,7.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,6.123233995736766e-17,1.0,0.875,0.0,7.0,4.0,2.0,3.0,5.0,16.0,38.0,77.4212472857038,76.3715524897611,8.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.25881904510252063,0.9659258262890683,0.725,0.0,8.0,7.0,4.0,1.0,4.0,13.0,36.0,81.35501383202948,77.4212472857038,9.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.4999999999999998,0.8660254037844388,0.575,0.0,9.0,8.0,7.0,1.0,2.0,11.0,39.0,90.64639500750812,81.35501383202948,13.0
0,0,1,0,0,0,0,312,31,0.6234898018587334,-0.7818314824680299,-0.7071067811865475,0.7071067811865476,0.55,0.0,13.0,9.0,8.0,4.0,5.0,11.0,36.0,97.45497615780448,90.64639500750812,12.0
